Date        Pluviometer        Plot        Distance        Tree sp        tree number        rainfall        rainfall size        Throughfall        Interception        LAI
26/05/2013        P58        1        100        1        5        5.97        2        3.52        2.42        0.20
26/05/2013        P59        1        100        1        5        5.97        2        2.40        3.54        0.20
26/05/2013        P60        1        100        1        5        5.97        2        2.64        3.30        0.20
26/05/2013        P61        1        250        1        5        5.97        2        1.60        4.34        0.20
26/05/2013        P62        1        250        1        5        5.97        2        2.00        3.94        0.20
26/05/2013        P63        1        250        1        5        5.97        2        2.40        3.54        0.20
26/05/2013        P64        1        100        2        6        5.97        2        2.40        3.52        0.33
26/05/2013        P65        1        100        2        6        5.97        2        3.04        2.88        0.33
26/05/2013        P66        1        100        2        6        5.97        2        4.00        1.92        0.33
26/05/2013        P67        1        250        2        6        5.97        2        3.84        2.08        0.33
26/05/2013        P68        1        250        2        6        5.97        2        3.04        2.88        0.33
26/05/2013        P69        1        100        1        6        5.97        2        1.60        4.34        0.20
26/05/2013        P70        1        100        1        6        5.97        2        2.00        3.94        0.20
26/05/2013        P71        1        100        1        6        5.97        2        4.64        1.30        0.20
26/05/2013        P72        1        250        1        6        5.97        2        4.32        1.62        0.20
26/05/2013        P73        1        250        1        6        5.97        2        4.80        1.14        0.20
26/05/2013        P74        1        100        2        5        5.97        2        4.16        1.75        0.33
26/05/2013        P75        1        100        2        5        5.97        2        4.24        1.67        0.33
26/05/2013        P76        1        100        2        5        5.97        2        2.24        3.67        0.33
26/05/2013        P77        1        250        2        5        5.97        2        3.20        2.71        0.33
26/05/2013        P78        2        100        1        7        5.97        2        1.6        4.36        0.20
26/05/2013        P79        2        100        1        7        5.97        2        1.76        4.20        0.20
26/05/2013        P80        2        100        1        7        5.97        2        2.8        3.16        0.20
26/05/2013        P81        2        250        1        7        5.97        2        2.4        3.56        0.20
26/05/2013        P82        2        250        1        7        5.97        2                5.96        0.20
26/05/2013        P83        2        250        1        7        5.97        2        2.24        3.72        0.20
26/05/2013        P84        2        550        1        7        5.97        2        2.56        3.40        0.20
26/05/2013        P85        2        550        1        7        5.97        2        2.56        3.40        0.20
26/05/2013        P86        2        100        1        8        5.97        2        4.4        1.56        0.20
26/05/2013        P87        2        100        1        8        5.97        2        1.28        4.68        0.20
26/05/2013        P88        2        100        1        8        5.97        2        2        3.96        0.20
26/05/2013        P89        2        250        1        8        5.97        2        1.92        4.04        0.20
26/05/2013        P90        2        250        1        8        5.97        2        2.24        3.72        0.20
26/05/2013        P91        2        250        1        8        5.97        2        2.4        3.56        0.20
26/05/2013        P92        2        100        2        8        5.97        2        2.4        3.53        0.33
26/05/2013        P93        2        100        2        8        5.97        2        1.76        4.17        0.33
26/05/2013        P94        2        100        2        8        5.97        2        2.4        3.53        0.33
26/05/2013        P95        2        250        2        8        5.97        2        4.4        1.53        0.33
26/05/2013        P96        2        250        2        8        5.97        2        3.2        2.73        0.33
26/05/2013        P97        2        550        2        8        5.97        2        2.4        3.53        0.33
26/05/2013        P98        2        550        2        8        5.97        2        2.8        3.13        0.33
26/05/2013        P99        2        100        2        7        5.97        2        1.44        4.52        0.33
26/05/2013        P100        2        100        2        7        5.97        2        1.2        4.76        0.33
26/05/2013        P101        2        100        2        7        5.97        2        1.6        4.36        0.33
26/05/2013        P102        2        250        2        7        5.97        2        2.4        3.56        0.33
26/05/2013        P103        2        250        2        7        5.97        2        2.24        3.72        0.33
26/05/2013        P105        3        100        2        9        5.97        2        1.44        4.41        0.33
26/05/2013        P106        3        100        2        9        5.97        2        1.44        4.41        0.33
